date,retail_sales,cpi,real_retail_sales,yoy_growth_pct
2007-02-01,321434,204.226,157391.32137925632,0.12707211276070662
2007-03-01,323708,205.288,157684.81353025994,0.13532968697560488
2007-04-01,322878,205.904,156809.96969461496,-0.43543718732649284
2007-05-01,327266,206.755,158286.86126091267,1.1788592362535155
2007-06-01,324076,207.234,156381.67482169913,-0.4416016915404719
2007-07-01,325455,207.603,156767.9657808413,0.030882864963976964
2007-08-01,327444,207.667,157677.43550973432,0.7981799263613754
2007-09-01,328668,208.547,157599.00645897567,1.0147866936797367
2007-10-01,330544,209.19,158011.37721688417,0.9109650954116422
2007-11-01,334021,210.834,158428.43184685582,0.915238671004226
2007-12-01,329259,211.445,155718.50835914776,-1.263677140591346
2008-01-01,330478,212.174,155758.00993524183,-1.0725955973344248
2008-02-01,327869,212.687,154155.63715694894,-2.0558212447499224
2008-03-01,328493,213.448,153898.3733743113,-2.4012712899723843
2008-04-01,328037,213.942,153329.87445195427,-2.219307388068581
2008-05-01,331088,215.208,153845.58194862647,-2.8058420496224312
2008-06-01,331764,217.463,152561.12534086258,-2.4430928273358132
2008-07-01,330301,219.016,150811.35624794537,-3.799634385269224
2008-08-01,327296,218.69,149662.0787415977,-5.083388591541227
2008-09-01,321568,218.877,146917.21834637717,-6.7778270641439935
2008-10-01,308968,216.995,142384.8475771331,-9.889496512838003
2008-11-01,295396,213.153,138584.02180593283,-12.525788338361831
2008-12-01,287571,211.398,136032.98044446966,-12.641739329582824
2009-01-01,292449,211.933,137991.25195226792,-11.406641616929136
2009-02-01,291429,212.705,137010.8836181566,-11.121716892738032
2009-03-01,286022,212.495,134601.75533541964,-12.538545805132372
2009-04-01,287530,212.709,135175.28642417575,-11.840215804433619
2009-05-01,290215,213.022,136237.10227112693,-11.44555433732216
2009-06-01,295458,214.79,137556.68327203317,-9.835036307778566
2009-07-01,296928,214.726,138282.27601687732,-8.307783009702053
2009-08-01,302871,215.445,140579.2661700202,-6.068880405743693
2009-09-01,294449,215.861,136406.76175872437,-7.153999174469106
2009-10-01,298067,216.509,137669.56569934738,-3.3116458373362634
2009-11-01,300583,217.234,138368.30330427096,-0.15565899939312677
2009-12-01,301959,217.347,138929.45382268907,2.129243488421384
2010-01-01,302325,217.488,139007.66938865592,0.7365810672835815
2010-02-01,302310,217.281,139133.19618374362,1.5490102023586916
2010-03-01,309525,217.353,142406.5920415177,5.798465767886052
2010-04-01,312143,217.403,143578.05550061408,6.216202161444451
2010-05-01,309158,217.29,142278.9820056146,4.434826955188509
2010-06-01,308588,217.199,142076.16057164167,3.285538144788469
2010-07-01,309543,217.605,142249.9483008203,2.8692558426350656
2010-08-01,310761,217.923,142601.28577525087,1.4383483854476742
2010-09-01,313785,218.275,143756.72889703355,5.3882718448442946
2010-10-01,317699,219.035,145044.85584495627,5.357240802019803
2010-11-01,320695,219.59,146042.62489184388,5.5463002756470425
2010-12-01,323421,220.472,146694.81838963678,5.58942999722607
2011-01-01,325674,221.187,147239.21387784998,5.92164772303263
2011-02-01,328049,221.898,147837.74527034943,6.256270484227433
2011-03-01,331161,223.046,148472.064058535,4.25926351446495
2011-04-01,333189,224.093,148683.3591410709,3.555768757736777
2011-05-01,332409,224.806,147864.82567191267,3.925979499964116
2011-06-01,335108,224.806,149065.4164034768,4.9193726827315265
2011-07-01,334922,225.395,148593.3583264935,4.459340830309899
2011-08-01,335163,226.106,148232.68732364464,3.9490538376135254
2011-09-01,339011,226.597,149609.65943944536,4.071413273881608
2011-10-01,341058,226.75,150411.4663726571,3.6999661218164004
2011-11-01,342214,227.169,150642.91342568747,3.149962921613092
2011-12-01,343093,227.223,150993.95747789615,2.930668673545389
2012-01-01,345656,227.842,151708.64019803196,3.0354864050617936
2012-02-01,350345,228.329,153438.67839827616,3.788567742077209
2012-03-01,351748,228.807,153731.31066794286,3.542246578679209
2012-04-01,349722,229.187,152592.42452669653,2.629120977766397
2012-05-01,349064,228.713,152620.97038646688,3.2165490967455135
2012-06-01,345339,228.524,151117.16931263238,1.3764110808922148
2012-07-01,346936,228.59,151772.16851130844,2.1392680134669106
2012-08-01,351782,229.918,153003.2446350438,3.218289702178412
2012-09-01,354575,231.015,153485.70439148974,2.590771856955665
2012-10-01,354747,231.638,153147.15202168902,1.8188012623013838
